last_name, first_name,player_id,display_team_name,year,primary_pos_formatted,fielding_runs_prevented,outs_above_average,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,actual_success_rate_formatted,adj_estimated_success_rate_formatted,diff_success_rate_formatted
Diaz, Yandy,650490,Rays,2020,3B,-1,-1,0,-1,0,0,-1,0,88%,91%,-3%
Dickerson, Alex,543105,Giants,2020,LF,-3,-3,0,-2,1,-3,-1,-2,81%,85%,-4%
Dickerson, Corey,572816,Marlins,2020,LF,1,1,0,-1,2,0,0,0,83%,82%,1%
Dietrich, Derek,518618,Rangers,2020,1B,-2,-3,0,-3,0,0,-1,-1,69%,91%,-22%
Donaldson, Josh,518626,Twins,2020,3B,0,0,2,0,-1,0,0,1,87%,86%,1%
Dozier, Hunter,641531,Royals,2020,RF,-1,-1,0,0,0,0,0,-1,90%,92%,-2%
Drury, Brandon,592273,Blue Jays,2020,3B,0,0,1,0,0,-1,0,0,83%,83%,0%
Dubon, Mauricio,643289,Giants,2020,CF,4,5,0,4,2,0,0,5,93%,90%,3%
Duggar, Steven,621453,Giants,2020,LF,0,0,1,-1,0,0,-1,1,92%,91%,1%
Duvall, Adam,594807,Braves,2020,LF,0,0,-1,0,1,-1,1,-1,84%,84%,0%
Dyson, Jarrod,502481,---,2020,CF,2,2,0,1,1,0,2,0,89%,85%,4%
Eaton, Adam,594809,Nationals,2020,RF,-1,-1,2,-2,-2,1,1,-2,82%,83%,-1%
Edman, Tommy,669242,Cardinals,2020,3B,3,4,1,-1,3,0,2,2,92%,89%,3%
Engel, Adam,641553,White Sox,2020,RF,3,3,1,1,1,0,1,2,96%,89%,7%
Ervin, Phillip,640447,---,2020,RF,2,3,2,0,0,0,1,2,92%,86%,6%
Escobar, Eduardo,500871,Diamondbacks,2020,3B,-1,-1,-1,-1,0,1,-3,2,89%,90%,-1%
Espinal, Santiago,669289,Blue Jays,2020,SS,1,1,1,-1,1,0,2,-1,90%,89%,1%
Estrada, Thairo,642731,Yankees,2020,2B,-1,-1,-1,0,1,-1,-2,1,90%,93%,-3%
Evans, Phillip,595943,Pirates,2020,3B,-1,-1,0,-2,1,0,0,-2,85%,92%,-7%
Farmer, Kyle,571657,Reds,2020,SS,0,0,0,0,1,0,0,0,90%,89%,1%
Fisher, Derek,605233,Blue Jays,2020,RF,-2,-3,-1,-1,0,-1,-2,0,57%,69%,-12%
Fletcher, David,664058,Angels,2020,SS,-2,-3,2,-1,-3,0,-3,1,88%,89%,-1%
Flores, Wilmer,527038,Giants,2020,2B,1,1,-1,1,1,0,-1,1,88%,86%,2%
Forsythe, Logan,523253,Marlins,2020,2B,1,1,0,0,1,0,0,1,93%,87%,6%
Fowler, Dexter,451594,Cardinals,2020,RF,0,0,-1,0,0,0,0,0,81%,82%,-1%
Fraley, Jake,641584,Mariners,2020,RF,0,0,0,0,-1,0,-1,0,95%,97%,-2%
